judge	protocol	access	n	accuracy	stderr	timestamp
ollama/qwen2.5:7b	debate	none	300	0.717	0.059	2026-07-21T20:12:42Z
ollama/qwen2.5:7b	direct	none	300	0.633	0.063	2026-07-21T20:13:39Z
ollama/qwen2.5:7b	direct	obscured	300	0.483	0.065	2026-07-21T20:15:32Z
ollama/qwen2.5:7b	debate	obscured	300	0.617	0.063	2026-07-21T20:26:01Z
ollama/qwen2.5:7b	consultancy	none	300	0.617	0.063	2026-07-21T20:30:56Z
ollama/qwen2.5:7b	consultancy	obscured	300	0.533	0.065	2026-07-21T20:35:56Z
ollama/qwen2.5:7b	direct	full	300	0.783	0.054	2026-07-21T20:37:11Z
ollama/qwen2.5:7b	debate	full	300	0.800	0.052	2026-07-21T20:46:14Z
ollama/qwen2.5:7b	consultancy	full	300	0.767	0.055	2026-07-21T20:51:12Z
ollama/qwen2.5:3b	debate	none	300	0.633	0.063	2026-07-21T21:00:23Z
ollama/qwen2.5:3b	direct	none	300	0.617	0.063	2026-07-21T21:01:21Z
ollama/qwen2.5:3b	direct	obscured	300	0.483	0.065	2026-07-21T21:02:26Z
ollama/qwen2.5:3b	debate	obscured	300	0.667	0.061	2026-07-21T21:11:46Z
ollama/qwen2.5:3b	consultancy	none	300	0.667	0.061	2026-07-21T21:16:28Z
ollama/qwen2.5:3b	consultancy	obscured	300	0.467	0.065	2026-07-21T21:21:33Z
ollama/qwen2.5:3b	direct	full	300	0.800	0.052	2026-07-21T21:22:35Z
ollama/qwen2.5:3b	debate	full	300	0.783	0.054	2026-07-21T21:31:32Z
ollama/qwen2.5:3b	consultancy	full	300	0.833	0.049	2026-07-21T21:36:20Z
