judge	protocol	access	n	accuracy	stderr	timestamp
ollama/qwen2.5:7b	debate	none	300	0.743	0.025	2026-07-22T02:27:29Z
ollama/qwen2.5:7b	direct	none	300	0.537	0.029	2026-07-22T02:32:19Z
ollama/qwen2.5:7b	direct	obscured	300	0.447	0.029	2026-07-22T02:41:32Z
ollama/qwen2.5:7b	debate	obscured	300	0.633	0.028	2026-07-22T03:30:23Z
ollama/qwen2.5:7b	consultancy	none	300	0.660	0.027	2026-07-22T03:53:36Z
ollama/qwen2.5:7b	consultancy	obscured	300	0.447	0.029	2026-07-22T04:23:54Z
ollama/qwen2.5:7b	direct	full	300	0.827	0.022	2026-07-22T04:29:47Z
ollama/qwen2.5:7b	debate	full	300	0.840	0.021	2026-07-22T05:16:49Z
ollama/qwen2.5:7b	consultancy	full	300	0.757	0.025	2026-07-22T05:42:06Z
ollama/qwen2.5:3b	debate	none	300	0.753	0.025	2026-07-22T06:30:33Z
ollama/qwen2.5:3b	direct	none	300	0.510	0.029	2026-07-22T06:35:30Z
ollama/qwen2.5:3b	direct	obscured	300	0.443	0.029	2026-07-22T06:44:24Z
ollama/qwen2.5:3b	debate	obscured	300	0.623	0.028	2026-07-22T07:40:56Z
ollama/qwen2.5:3b	consultancy	none	300	0.637	0.028	2026-07-22T08:07:35Z
ollama/qwen2.5:3b	consultancy	obscured	300	0.500	0.029	2026-07-22T08:40:51Z
ollama/qwen2.5:3b	direct	full	300	0.830	0.022	2026-07-22T08:46:50Z
ollama/qwen2.5:3b	debate	full	300	0.860	0.020	2026-07-22T09:35:33Z
ollama/qwen2.5:3b	consultancy	full	300	0.753	0.025	2026-07-22T10:02:34Z
